Date of survey,CY's rating (as Chief Executive)
3-6/4/2017,41.3
16-20/3/2017,40.5
6-10/3/2017,39.4
20-24/2/2017,41.7
6-9/2/2017,40.8
19-24/01/2017,42.6
18/1/2017,41.7
3-5/1/2017,41.3
19-22/12/2016,39
2-8/12/2016,35
21-24/11/2016,40.7
7-10/11/2016,36.3
24-27/10/2016,39.2
3-6/10/2016,36.6
19-22/9/2016,38.7
5-8/9/2016,36.5
19-25/8/2016,39
5-11/8/2016,40.8
18-21/7/2016,40.1
4-7/7/2016,40.1
20-23/6/2016,38.4
6-8/6/2016,38.2
24-26/5/2016,36.2
3-5/5/2016,40
18-21/4/2016,39.6
5-7/4/2016,41.6
17-22/3/2016,39.8
7-10/3/2016,37.7
17-19/2/2016,39.8
1-4/2/2016,39.5
18-21/1/2016,38.7
13/1/2016,37
4-6/1/2016,37.5
16-21/12/2015,42.7
3-7/12/2015,41.8
18-24/11/2015,43.3
2-5/11/2015,42.5
19-23/10/2015,41.3
5-8/10/2015,39.8
16-22/9/2015,39.2
7-10/9/2015,41.4
21-27/8/2015,38.5
3-6/8/2015,39.2
20-23/7/2015,43.9
6-10/7/2015,45.4
22-25/6/2015,44.1
3-9/6/2015,42.6
15-21/5/2015,44.6
4-7/5/2015,43.2
20-26/4/2015,44.5
31/3-9/4/2015,43.3
16-19/3/2015,41.9
2-5/3/2015,39.6
11-16/2/2015,40.7
30/1-4/2/2015,40.9
19-21/1/2015,42.1
14/1/2015,44.8
2-8/1/2015,40.6
17-22/12/2014,43.2
8-11/12/2014,39.7
17-19/11/2014,44.7
31/10-5/11/2014,40.4
20-23/10/2014,38.9
6-9/10/2014,40.6
17-22/9/2014,43.2
4-11/9/2014,42
14-20/8/2014,45
31/7-6/8/2014,44.1
21-24/7/2014,46.1
7-10/7/2014,42.7
16-19/6/2014,45.6
3-6/6/2014,45.8
17-22/5/2014,47.9
5-8/5/2014,48.5
16-23/4/2014,47.8
7-10/4/2014,47.6
24-27/3/2014,46.6
3-6/3/2014,47.5
17-20/2/2014,46.4
4-6/2/2014,47.9
18-22/1/2014,47
15/1/2014,48.9
2-6/1/2014,45.6
16-19/12/2013,45
3-5/12/2013,42
14-21/11/2013,40
4-7/11/2013,41.2
18-24/10/2013,44
3-8/10/2013,48.1
23-26/9/2013,49.4
3-5/9/2013,45.7
15-20/8/2013,43.7
1-8/8/2013,45.7
22-25/7/2013,45.1
2-5/7/2013,46.5
13-19/6/2013,46.2
3-5/6/2013,46.7
20-23/5/2013,46.7
2-7/5/2013,49
17-25/4/2013,49.9
2-10/4/2013,50.5
21-27/3/2013,51.4
27/2-6/3/2013,48.6
18-21/2/2013,48
1-6/2/2013,46.3
18-24/1/2013,48.1
16/1/2013,52.2
2-9/1/2013,48.9
18-28/12/2012,49.1
1-4/12/2012,49.2
14-22/11/2012,52.3
1-8/11/2012,53
17-23/10/2012,49.1
4-10/10/2012,49.2
18-27/9/2012,46
3-7/9/2012,46.5
14-18/8/2012,49
2-8/8/2012,51.6
17-20/7/2012,51.2
9-11/7/2012,53.8
19-25/6/2012,51.3
30/5-6/6/2012,54.1
18-24/5/2012,54.3
3-10/5/2012,56.5
17-23/4/2012,54
2-10/4/2012,52.2
27-30/3/2012,51.5
